genero_principal,title,vote_average
Comedy,Tommy Boy,6.8
Drama,Vanya on 42nd Street,6.1
Thriller,The Underneath,5.6
Drama,The Walking Dead,6.6
Romance,What's Eating Gilbert Grape,7.5
Action,Virtuosity,5.4
Comedy,While You Were Sleeping,6.5
Drama,The War,6.3
Comedy,Double Happiness,5.5
Drama,Muriel's Wedding,6.9
Comedy,The Baby-Sitters Club,5.3
Comedy,Ace Ventura: Pet Detective,6.4
Drama,"The Adventures of Priscilla, Queen of the Desert",7.2
Drama,Backbeat,6.2
Thriller,Bitter Moon,7.0
Action,Bullets Over Broadway,7.0
Action,Clear and Present Danger,6.4
Drama,The Client,6.4
Comedy,"Corrina, Corrina",6.4
Comedy,Crooklyn,6.7
Fantasy,The Crow,7.3
Drama,Cobb,6.1
Fantasy,The Flintstones,5.0
Comedy,Forrest Gump,8.2
Comedy,Four Weddings and a Funeral,6.6
Romance,Higher Learning,6.4
Comedy,I Like It Like That,6.3
Action,I Love Trouble,5.3
Comedy,It Could Happen to You,6.1
Adventure,The Jungle Book,5.9
Documentary,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3
Family,The Lion King,8.0
Drama,Little Buddha,6.0
Horror,New Nightmare,6.4
Romance,The Mask,6.6
Action,Maverick,6.6
Drama,Mrs. Parker and the Vicious Circle,6.3
Comedy,The Naked Gun 33⅓: The Final Insult,6.4
Comedy,The Paper,6.1
Drama,Reality Bites,6.5
Crime,Red Rock West,6.4
Comedy,Ri¢hie Ri¢h,5.4
Drama,Safe Passage,4.9
Action,The River Wild,6.1
Action,Speed,6.8
Comedy,Speechless,5.5
Thriller,Timecop,5.5
Action,True Lies,6.8
Drama,When a Man Loves a Woman,6.0
Fantasy,Wolf,6.0
Drama,Wyatt Earp,6.5
Action,Bad Company,4.9
Comedy,A Man of No Importance,6.5
Comedy,S.F.W.,6.1
Action,A Low Down Dirty Shame,6.0
Drama,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0
Drama,Colonel Chabert,5.9
Action,"Faster, Pussycat! Kill! Kill!",6.5
Crime,Jason's Lyric,5.9
Animation,The Secret Adventures of Tom Thumb,7.1
Action,Street Fighter,4.1
Action,Coldblooded,6.7
Action,Fall Time,6.3
Horror,The Fear,3.4
Documentary,Frank and Ollie,7.5
Romance,Girl in the Cadillac,10.0
Thriller,Homage,0.0
Action,Mirage,4.0
Comedy,Open Season,0.0
Documentary,Brother Minister: The Assassination of Malcolm X,4.0
Action,Highlander: The Final Dimension,4.5
Horror,In the Mouth of Madness,7.1
Drama,8 Seconds,7.2
Crime,Above the Rim,6.7
Comedy,Addams Family Values,6.5
Comedy,Martin Lawrence: You So Crazy,4.5
Drama,The Age of Innocence,7.0
Comedy,Airheads,5.8
Comedy,The Air Up There,5.1
Action,Another Stakeout,4.9
Action,Bad Girls,4.6
Comedy,Barcelona,6.6
Drama,Being Human,5.0
Comedy,The Beverly Hillbillies,5.0
Action,Beverly Hills Cop III,5.5
Action,Black Beauty,6.6
Mystery,Blink,6.3
Drama,Blown Away,6.0
Drama,Blue Chips,5.7
Drama,Blue Sky,6.1
Horror,Body Snatchers,5.8
Drama,Boxing Helena,4.5
Drama,A Bronx Tale,7.4
Comedy,Cabin Boy,4.9
Drama,Calendar Girl,3.7
Action,Carlito's Way,7.7
Action,City Slickers II: The Legend of Curly's Gold,4.9
Comedy,Clean Slate,5.7
Action,Cliffhanger,6.1
Comedy,Coneheads,4.8
Drama,Color of Night,5.4
Action,Cops & Robbersons,5.0
Western,The Cowboy Way,5.1
Drama,Dangerous Game,5.4
Comedy,Dave,6.3
Comedy,Dazed and Confused,7.4
Crime,Demolition Man,6.4
Documentary,The Endless Summer 2,7.1
Western,Even Cowgirls Get the Blues,4.2
Comedy,Fatal Instinct,5.4
Drama,Farewell My Concubine,7.8
Drama,The Favor,3.3
Drama,Fearless,6.8
Comedy,Fear of a Black Hat,5.8
Comedy,With Honors,6.1
Drama,Flesh and Bone,6.2
Comedy,Widows' Peak,4.3
Comedy,For Love or Money,5.7
Drama,The Firm,6.6
Family,Free Willy,6.0
Crime,Fresh,7.6
Adventure,The Fugitive,7.2
History,Geronimo: An American Legend,5.9
Drama,The Getaway,5.4
Family,Getting Even with Dad,4.5
Drama,Go Fish,3.9
Comedy,A Good Man in Africa,5.2
Drama,Guilty as Sin,5.6
Action,Hard Target,6.1
History,Heaven & Earth,6.4
Action,Hot Shots! Part Deux,6.2
Comedy,Live Nude Girls,4.7
Drama,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1
Romance,The House of the Spirits,6.7
Comedy,House Party 3,4.6
Comedy,The Hudsucker Proxy,7.1
Comedy,I'll Do Anything,5.7
Comedy,In the Army Now,4.7
Action,In the Line of Fire,6.8
Drama,In the Name of the Father,7.6
Comedy,The Inkwell,3.9
Drama,What's Love Got to Do with It,6.9
Comedy,Jimmy Hollywood,4.6
Action,Judgment Night,6.4
Adventure,Jurassic Park,7.6
Thriller,Kalifornia,6.5
Action,Killing Zoe,6.1
Drama,King of the Hill,6.4
Action,Lassie,6.1
Adventure,Last Action Hero,6.1
Comedy,Life With Mikey,5.1
Action,Lightning Jack,5.7
Drama,M. Butterfly,6.6
Comedy,Made in America,5.3
Drama,Malice,5.9
Drama,The Man without a Face,6.2
Comedy,Manhattan Murder Mystery,7.1
Drama,Menace II Society,7.2
Action,Executive Decision,5.8
Drama,In the Realm of the Senses,6.5
Thriller,What Happened Was...,7.0
Drama,Much Ado About Nothing,7.2
Drama,Mr. Jones,5.9
Comedy,Mr. Wonderful,5.5
Comedy,Mrs. Doubtfire,7.0
Comedy,Naked,7.5
Adventure,The Next Karate Kid,4.8
Comedy,The New Age,4.8
Action,No Escape,6.1
Comedy,North,4.8
Romance,Orlando,6.7
Crime,A Perfect World,7.2
Drama,Philadelphia,7.6
Drama,The Piano,7.1
Drama,Poetic Justice,6.9
Drama,The Program,6.0
Horror,The Puppet Masters,5.6
Comedy,Radioland Murders,5.8
Comedy,The Ref,6.7
Drama,The Remains of the Day,7.5
Comedy,Renaissance Man,5.9
Action,Rising Sun,5.8
Comedy,The Road to Wellville,5.5
Action,RoboCop 3,4.2
Comedy,Robin Hood: Men in Tights,6.4
Action,Romeo Is Bleeding,5.7
Action,Romper Stomper,6.6
Drama,Ruby in Paradise,5.6
Drama,Rudy,7.2
Drama,The Saint of Fort Washington,4.0
Drama,Savage Nights,6.2
Drama,Schindler's List,8.3
Comedy,The Scout,5.3
Drama,Searching for Bobby Fischer,7.3
Drama,Second Best,5.9
Drama,The Secret Garden,7.1
Comedy,Serial Mom,6.4
Adventure,The Shadow,5.4
Drama,Shadowlands,6.8
Comedy,Short Cuts,6.9
Drama,A Simple Twist of Fate,5.7
Comedy,Sirens,5.2
Mystery,Six Degrees of Separation,6.5
Comedy,Sleepless in Seattle,6.5
Drama,Sliver,4.9
Science Fiction,Blade Runner,7.9
Comedy,Son in Law,5.6
Comedy,So I Married an Axe Murderer,6.1
Crime,Striking Distance,5.4
History,Harem,4.0
Adventure,Super Mario Bros.,4.0
Action,Surviving the Game,6.1
Action,Terminal Velocity,5.0
Drama,Thirty Two Short Films About Glenn Gould,7.4
Comedy,Threesome,6.3
Fantasy,The Nightmare Before Christmas,7.6
Action,The Three Musketeers,6.2
Action,Tombstone,7.4
Drama,Trial by Jury,5.5
Action,True Romance,7.5
Documentary,The War Room,7.3
Fantasy,The Pagemaster,6.2
Drama,"Paris, France",6.0
Thriller,Killer,3.0
Comedy,Welcome to the Dollhouse,6.9
Drama,Germinal,6.3
Comedy,Chasers,4.7
Drama,Cronos,6.4
Comedy,Naked in New York,4.0
Comedy,Kika,6.8
Comedy,Bhaji on the Beach,5.1
Comedy,Little Big League,6.0
Drama,The Slingshot,6.2
TV Movie,Wide Eyed and Legless,0.0
Drama,Foreign Student,0.0
Comedy,"Ciao, Professore!",7.2
Comedy,Spanking the Monkey,5.3
Romance,The Little Rascals,6.3
Comedy,À la mode,0.0
Drama,Andre,5.0
Thriller,The Escort,5.0
Comedy,Princess Caraboo,4.4
History,The Celluloid Closet,7.0
Drama,Café au Lait,6.8
Comedy,Dear Diary,6.9
Romance,I Don't Want to Talk About It,6.0
Comedy,The Brady Bunch Movie,5.9
Comedy,Home Alone,7.1
Fantasy,Ghost,6.9
Animation,Aladdin,7.4
Action,Terminator 2: Judgment Day,7.7
Adventure,Dances with Wolves,7.6
Thriller,Tough and Deadly,6.3
Fantasy,Batman,7.0
Crime,The Silence of the Lambs,8.1
Fantasy,Snow White and the Seven Dwarfs,6.9
Romance,Beauty and the Beast,7.5
Animation,Pinocchio,6.9
Romance,Pretty Woman,7.0
Comedy,Window to Paris,6.0
Adventure,The Wild Bunch,7.7
Crime,Love and a .45,5.5
Drama,The Wooden Man's Bride,6.5
Comedy,Bye Bye Love,6.1
Comedy,One Fine Day,6.1
Horror,Candyman: Farewell to the Flesh,5.0
Romance,Century,5.0
Crime,Fargo,7.7
Adventure,Homeward Bound II: Lost in San Francisco,6.0
Animation,Heavy Metal,6.3
Horror,Hellraiser: Bloodline,4.9
Comedy,The Pallbearer,4.6
Drama,Jane Eyre,7.1
Drama,Loaded,4.0
Comedy,Bread and Chocolate,7.1
Animation,The Aristocats,7.1
Drama,The Flower of My Secret,6.9
Comedy,Two Much,5.1
Comedy,Ed,3.6
Adventure,Scream of Stone,7.5
Drama,My Favorite Season,6.4
Thriller,Condition Red,4.7
Comedy,Halfaouine: Boy of the Terraces,7.4
Comedy,A Thin Line Between Love and Hate,5.7
Comedy,The Last Supper,6.5
Crime,Primal Fear,7.4
Drama,Carried Away,5.4
Romance,All Dogs Go to Heaven 2,5.0
Drama,Land and Freedom,7.0
Comedy,Denise Calls Up,6.6
Fantasy,Theodore Rex,3.6
Comedy,A Family Thing,5.6
Drama,Frisk,3.0
Comedy,Sgt. Bilko,5.5
Comedy,Jack & Sarah,5.1
Comedy,Girl 6,5.7
Drama,Diabolique,5.4
Adventure,"Little Indian, Big City",6.0
Romance,Roula,5.0
Comedy,Peanuts – Die Bank zahlt alles,4.0
Comedy,Happy Weekend,0.0
Drama,Nelly and Monsieur Arnaud,7.1
Drama,Courage Under Fire,6.2
Adventure,Mission: Impossible,6.7
Drama,Cold Fever,7.7
Drama,Moll Flanders,6.2
Comedy,The Superwife,5.3
Horror,"301, 302",6.2
Fantasy,DragonHeart,6.4
Drama,Und keiner weint mir nach,0.0
Drama,My Mother's Courage,0.0
Action,Eddie,5.4
Drama,Yankee Zulu,6.0
Crime,Purple Noon,7.3
Romance,August,5.3
Adventure,James and the Giant Peach,6.2
Drama,Fear,6.1
Comedy,Kids in the Hall: Brain Candy,5.9
Comedy,Faithful,4.8
War,Underground,7.5
War,All Things Fair,6.1
Action,Bloodsport II,5.2
Drama,Pather Panchali,7.9
Drama,The World of Apu,8.2
Comedy,Mystery Science Theater 3000: The Movie,7.0
Animation,Space Jam,6.5
Science Fiction,Barbarella,5.7
Thriller,Hostile Intentions,8.0
Comedy,They Bite,5.5
Drama,Some Folks Call It a Sling Blade,7.5
Drama,The Run of the Country,8.0
Drama,Alphaville,6.8
Drama,Coup de Torchon,6.8
Documentary,Tigrero: A Film That Was Never Made,7.5
Horror,Windows,5.8
Drama,It's My Party,6.2
Drama,Country Life,8.0
Action,Operation Dumbo Drop,4.7
Drama,The Promise,5.0
Comedy,Mrs. Winterbourne,5.5
Action,Solo,3.9
Drama,Under The Domim Tree,6.5
Action,The Substitute,5.8
Crime,True Crime,5.1
Crime,Butterfly Kiss,7.4
Action,Feeling Minnesota,5.5
Drama,Delta of Venus,3.3
Comedy,Angus,6.8
Drama,Priest Daens,6.7
Drama,Faces,7.1
Romance,Boys,5.3
Action,The Quest,5.3
Comedy,Cosi,7.1
Drama,Sunset Park,5.1
Drama,Mulholland Falls,6.2
Comedy,The Truth About Cats & Dogs,5.7
Animation,Oliver & Company,6.5
Comedy,Celtic Pride,4.9
Adventure,Flipper,5.3
Drama,Captives,6.0
Drama,Of Love and Shadows,4.4
Drama,Dead Man,7.2
War,The Horseman on the Roof,6.7
Action,Switchblade Sisters,6.6
Comedy,Mouth to Mouth,5.5
Fantasy,The Visitors,7.1
Comedy,Multiplicity,5.5
Documentary,"The Haunted World of Edward D. Wood, Jr.",10.0
Drama,Two Friends,0.0
Drama,The Craft,6.3
Comedy,The Great White Hype,5.1
Drama,Last Dance,5.6
Comedy,Cold Comfort Farm,7.0
Animation,"Institute Benjamenta, or This Dream People Call Human Life",7.7
Drama,Heaven's Prisoners,5.0
Action,Original Gangstas,5.5
Action,The Rock,6.9
Comedy,Getting Away with Murder,5.5
Fantasy,Cemetery Man,7.0
Action,Twister,6.1
Action,Barb Wire,3.9
Drama,Le Garçu,5.0
Comedy,Honeymoon,0.0
Action,Ghost in the Shell,7.8
Horror,Thinner,5.5
Action,Spy Hard,4.9
Comedy,Brothers in Trouble,0.0
Family,A Close Shave,7.5
Drama,Force of Evil,6.6
Comedy,The Stupids,4.2
Action,The Arrival,6.1
Drama,The Man from Down Under,0.0
Drama,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0
Horror,Careful,7.8
Comedy,A Month by the Lake,7.2
Drama,Gold Diggers: The Secret of Bear Mountain,5.8
Family,Kim,7.0
Documentary,Carmen Miranda: Bananas Is My Business,10.0
Drama,Ashes of Time,7.1
Documentary,Maya Lin: A Strong Clear Vision,0.0
Drama,Stalingrad,7.4
Adventure,The Phantom,4.7
Drama,Striptease,4.4
Drama,The Last of the High Kings,5.7
Drama,Heavy,7.7
Comedy,Jack,5.9
Drama,I Shot Andy Warhol,6.1
Comedy,The Grass Harp,6.1
Drama,Someone Else's America,0.0
Music,Life is Rosy,6.5
Drama,Touki Bouki,7.3
Drama,God's Gift,5.0
Drama,Spirits of the Dead,5.5
Western,Pharaoh's  Army,6.3
Drama,Trainspotting,7.8
Comedy,Til There Was You,3.9
Action,Independence Day,6.7
Drama,Stealing Beauty,6.6
Drama,The Fan,5.7
Drama,The Hunchback of Notre Dame,6.8
Comedy,The Cable Guy,5.7
Comedy,Kingpin,6.7
Action,Eraser,5.6
Documentary,The Gate of Heavenly Peace,6.7
Fantasy,The Nutty Professor,5.4
Drama,"I, the Worst of All",6.8
Drama,An Unforgettable Summer,7.2
Comedy,Somebody to Love,5.1
Drama,A Very Natural Thing,6.3
Comedy,The Old Lady Who Walked in the Sea,0.0
Action,Daylight,5.8
Horror,The Frighteners,6.7
Drama,Lone Star,6.9
Comedy,Harriet the Spy,5.7
Drama,Phenomenon,6.2
Comedy,Walking and Talking,6.6
Comedy,She's the One,5.7
Crime,A Time to Kill,7.0
Drama,American Buffalo,6.2
Romance,Rendezvous in Paris,6.5
Adventure,Alaska,5.2
Action,Fled,5.2
Fantasy,Kazaam,3.6
Family,Larger Than Life,5.4
Action,Power 98,4.0
War,Two Deaths,7.0
Comedy,A Very Brady Sequel,5.8
Comedy,Stefano Quantestorie,6.0
Adventure,Death in the Garden,7.4
War,Hedd Wyn,6.5
Drama,La Collectionneuse,6.5
Drama,Kaspar Hauser,6.3
Comedy,Regular Guys,5.2
Drama,Diebinnen,4.0
Thriller,The Convent,6.5
Animation,The Adventures of Pinocchio,5.0
Fantasy,Joe's Apartment,5.0
Comedy,The First Wives Club,6.5
Romance,Stonewall,7.2
Action,Ransom,6.4
Comedy,High School High,5.4
Comedy,Phat Beach,5.4
Action,Foxfire,6.3
Action,Chain Reaction,5.3
Comedy,Matilda,6.9
Drama,Emma,6.7
Action,The Crow: City of Angels,5.2
Comedy,House Arrest,5.0
Drama,Eyes Without a Face,7.5
Horror,Bordello of Blood,5.0
Drama,Lotto Land,7.0
Drama,Flirt,7.5
Drama,The Big Squeeze,5.0
Comedy,The Spitfire Grill,6.8
Action,Escape from L.A.,5.6
Crime,Cyclo,6.8
Drama,Basquiat,6.6
Comedy,Tin Cup,5.9
Drama,Dingo,6.0
Drama,The Ballad of Narayama,6.4
Drama,Every Other Weekend,6.0
Drama,The Godfather,8.5
Comedy,Maybe... Maybe Not,6.1
Action,Police Story 3: Supercop,6.7
Drama,Manny & Lo,6.3
Drama,Wife,0.0
Crime,Bound,6.9
Comedy,Carpool,4.9
Drama,Death in Brunswick,6.1
Thriller,Kansas City,6.1
Comedy,Gone Fishin',4.7
Romance,Lover's Knot,4.0
Drama,Vive L'Amour,7.3
Drama,Shadow of Angels,4.0
Drama,Killer: A Journal of Murder,6.3
Action,Nothing to Lose,0.0
Action,Project S,5.8
Comedy,Girls Town,5.2
Drama,Bye-Bye,7.7
Horror,The Relic,5.8
Fantasy,The Island of Dr. Moreau,4.6
Comedy,First Kid,5.3
Drama,The Trigger Effect,6.6
Fantasy,Bogus,5.4
Action,Bulletproof,5.4
Drama,Talk of Angels,6.8
Animation,The Land Before Time III: The Time of the Great Giving,6.1
Thriller,Baton Rouge,0.0
Horror,Halloween: The Curse of Michael Myers,5.0
Drama,Twelfth Night,7.0
Drama,Mother Night,7.1
Drama,Liebelei,6.3
Drama,Venice,7.5
Drama,Wild Reeds,7.4
Drama,For Whom the Bell Tolls,6.1
